Major Version,Minor Version,Build Number,Release date,End of support,Notes
Qlik Sense April 2020,Patch 3,13.72.8,03/06/2020,As per initial release,
Qlik Sense April 2020,Patch 2,13.72.5,20/05/2020,As per initial release,
Qlik Sense April 2020,Patch 1,13.72.4,06/05/2020,As per initial release,
Qlik Sense April 2020,Initial release,13.72.3,14/04/2020,30/04/2022,
Qlik Sense February 2020,Patch 5,13.62.14,03/06/2020,As per initial release,
Qlik Sense February 2020,Patch 4,13.62.12,20/05/2020,As per initial release,
Qlik Sense February 2020,Patch 3,13.62.11,06/05/2020,As per initial release,
Qlik Sense February 2020,Patch 2,13.62.9,08/04/2020,As per initial release,
Qlik Sense February 2020,Patch 1,13.62.7,11/03/2020,As per initial release,
Qlik Sense February 2020,Initial release,13.62.6,25/02/2020,28/02/2022,Delayed release
Qlik Sense November 2019,Patch 11,13.51.19,20/05/2020,As per initial release,
Qlik Sense November 2019,Patch 10,13.51.18,06/05/2020,As per initial release,
Qlik Sense November 2019,Patch 9,13.51.15,22/04/2020,As per initial release,
Qlik Sense November 2019,Patch 8,13.51.14,08/04/2020,As per initial release,
Qlik Sense November 2019,Patch 7,13.51.13,25/03/2020,As per initial release,
Qlik Sense November 2019,Patch 6,13.51.12,04/03/2020,As per initial release,
Qlik Sense November 2019,Patch 5,13.51.10,12/02/2020,As per initial release,
Qlik Sense November 2019,Patch 4,13.51.8,29/01/2020,As per initial release,
Qlik Sense November 2019,Patch 3,13.51.7,15/01/2020,As per initial release,
Qlik Sense November 2019,Patch 2,13.51.6,18/12/2019,As per initial release,
Qlik Sense November 2019,Patch 1,13.51.5,04/12/2019,As per initial release,
Qlik Sense November 2019,Initial release,13.51.4,11/11/2019,30/11/2021,Re-released
Qlik Sense September 2019,Patch 11,13.42.18,03/06/2020,As per initial release,
Qlik Sense September 2019,Patch 10,13.42.17,06/05/2020,As per initial release,
Qlik Sense September 2019,Patch 9,13.42.16,08/04/2020,As per initial release,
Qlik Sense September 2019,Patch 8,13.42.15,25/03/2020,As per initial release,
Qlik Sense September 2019,Patch 7,13.42.14,04/03/2020,As per initial release,
Qlik Sense September 2019,Patch 6,13.42.12,12/02/2020,As per initial release,
Qlik Sense September 2019,Patch 5,13.42.10,29/01/2020,As per initial release,
Qlik Sense September 2019,Patch 4,13.42.9,15/01/2020,As per initial release,
Qlik Sense September 2019,Patch 3,13.42.8,18/12/2019,As per initial release,
Qlik Sense September 2019,Patch 2,13.42.6,04/12/2019,As per initial release,
Qlik Sense September 2019,Patch 1,13.42.5,08/11/2019,As per initial release,
Qlik Sense September 2019,Initial release,13.42.1,30/09/2019,30/09/2021,
Qlik Sense June 2019,Patch 13,13.32.19,08/04/2020,As per initial release,
Qlik Sense June 2019,Patch 12,13.32.18,25/03/2020,As per initial release,
Qlik Sense June 2019,Patch 11,13.32.16,05/03/2020,As per initial release,
Qlik Sense June 2019,Patch 10,13.32.15,12/02/2020,As per initial release,
Qlik Sense June 2019,Patch 9,13.32.12,29/01/2020,As per initial release,
Qlik Sense June 2019,Patch 8,13.32.11,15/01/2020,As per initial release,
Qlik Sense June 2019,Patch 7,13.32.10,18/12/2019,As per initial release,
Qlik Sense June 2019,Patch 6,13.32.9,04/12/2019,As per initial release,
Qlik Sense June 2019,Patch 5,13.32.8,20/11/2019,As per initial release,
Qlik Sense June 2019,Patch 4,13.32.7,06/11/2019,As per initial release,
Qlik Sense June 2019,Patch 3,13.32.6,11/10/2019,As per initial release,
Qlik Sense June 2019,Patch 2,13.32.4,10/09/2019,As per initial release,
Qlik Sense June 2019,Patch 1,13.32.3,29/08/2019,As per initial release,
Qlik Sense June 2019,Initial release,13.32.2,28/06/2019,30/06/2021,Re-released
Qlik Sense April 2019,Patch 9,13.21.20,25/03/2020,As per initial release,
Qlik Sense April 2019,Patch 8,13.21.19,05/03/2020,As per initial release,
Qlik Sense April 2019,Patch 7,13.21.18,12/02/2020,As per initial release,
Qlik Sense April 2019,Patch 6,13.21.14,15/01/2020,As per initial release,
Qlik Sense April 2019,Patch 5,13.21.13,04/12/2019,As per initial release,
Qlik Sense April 2019,Patch 4,13.21.12,20/11/2019,As per initial release,
Qlik Sense April 2019,Patch 3,13.21.10,30/08/2019,As per initial release,
Qlik Sense April 2019,Patch 2,13.21.9,12/07/2019,As per initial release,
Qlik Sense April 2019,Patch 1,13.21.2,14/05/2019,As per initial release,
Qlik Sense April 2019,Initial release,13.21.1,25/04/2019,30/04/2021,
Qlik Sense February 2019,Patch 9,13.9.20,25/03/2020,As per initial release,
Qlik Sense February 2019,Patch 8,13.9.19,04/03/2020,As per initial release,
Qlik Sense February 2019,Patch 7,13.9.18,12/02/2020,As per initial release,
Qlik Sense February 2019,Patch 6,13.9.16,18/12/2019,As per initial release,
Qlik Sense February 2019,Patch 5,13.9.14,20/11/2019,As per initial release,
Qlik Sense February 2019,Patch 4,13.9.8,09/07/2019,As per initial release,
Qlik Sense February 2019,Patch 3,13.9.6,23/05/2019,As per initial release,
Qlik Sense February 2019,Patch 2,13.9.3,16/04/2019,As per initial release,
Qlik Sense February 2019,Patch 1,13.9.2,26/03/2019,As per initial release,
Qlik Sense February 2019,Initial release,13.9.1,12/02/2019,28/02/2021,
Qlik Sense November 2018,Patch 8,12.44.17,04/12/2019,As per initial release,
Qlik Sense November 2018,Patch 7,12.44.16,06/11/2019,As per initial release,
Qlik Sense November 2018,Patch 6,12.44.11,27/06/2019,As per initial release,
Qlik Sense November 2018,Patch 5,12.44.9,23/05/2019,As per initial release,
Qlik Sense November 2018,Patch 4,12.44.7,16/04/2019,As per initial release,
Qlik Sense November 2018,Patch 3,12.44.5,28/02/2019,As per initial release,
Qlik Sense November 2018,Patch 2,12.44.3,13/12/2018,As per initial release,
Qlik Sense November 2018,Patch 1,12.44.2,15/11/2018,As per initial release,
Qlik Sense November 2018,Initial release,12.44.1,13/11/2018,30/11/2020,
Qlik Sense September 2018,Patch 4,12.36.10,16/04/2019,As per initial release,
Qlik Sense September 2018,Patch 3,12.36.9,18/03/2019,As per initial release,
Qlik Sense September 2018,Patch 2,12.36.6,12/11/2018,As per initial release,
Qlik Sense September 2018,Patch 1,12.36.3,16/10/2018,As per initial release,
Qlik Sense September 2018,Initial release,12.36.1,11/09/2018,30/09/2020,
Qlik Sense June 2018,Patch 3,12.26.9,16/04/2019,As per initial release,
Qlik Sense June 2018,Patch 2,12.26.4,12/11/2018,As per initial release,
Qlik Sense June 2018,Patch 1,12.26.3,30/08/2018,As per initial release,
Qlik Sense June 2018,Initial release,12.26.1,26/06/2018,30/06/2020,
Qlik Sense April 2018,Patch 3,12.16.7,16/04/2019,As per initial release,
Qlik Sense April 2018,Patch 2,12.16.4,21/11/2018,As per initial release,
Qlik Sense April 2018,Patch 1,12.16.3,20/06/2018,As per initial release,
Qlik Sense April 2018,Initial release,12.16.2,19/04/2018,30/04/2020,
Qlik Sense February 2018,Patch 4,12.5.10,16/04/2019,As per initial release,
Qlik Sense February 2018,Patch 3,12.5.8,29/10/2018,As per initial release,
Qlik Sense February 2018,Patch 2,12.5.5,05/06/2018,As per initial release,
Qlik Sense February 2018,Patch 1,12.5.3,27/02/2018,As per initial release,
Qlik Sense February 2018,Initial release,12.5.2,13/02/2018,29/02/2020,
Qlik Sense November 2017,Patch 4,11.24.14,29/05/2019,As per initial release,
Qlik Sense November 2017,Patch 3,11.24.5,13/02/2018,As per initial release,
Qlik Sense November 2017,Patch 2,11.24.4,18/01/2018,As per initial release,
Qlik Sense November 2017,Patch 1,11.24.3,01/12/2017,As per initial release,
Qlik Sense November 2017,Initial release,11.24.1,14/11/2017,30/11/2019,
Qlik Sense September 2017,Patch 4,11.14.8,19/09/2017,As per initial release,
Qlik Sense September 2017,Patch 3,11.14.7,15/02/2018,As per initial release,
Qlik Sense September 2017,Patch 2,11.14.5,08/12/2017,As per initial release,
Qlik Sense September 2017,Patch 1,11.14.4,31/10/2017,As per initial release,
Qlik Sense September 2017,Initial release,11.14.3,19/09/2017,30/09/2019,
Qlik Sense June 2017,Patch 3,11.11.4,17/11/2017,As per initial release,
Qlik Sense June 2017,Patch 2,11.11.3,28/08/2017,As per initial release,
Qlik Sense June 2017,Patch 1,11.11.2,25/07/2017,As per initial release,
Qlik Sense June 2017,Initial release,11.11.1,29/06/2017,30/06/2019,
